Sample	SampleName	ImmGen.Nomenclature	Population	Cell.Family	Organ	Sorting.Markers	Lab	Note	sample.id	Well	Owner	Batch	Total.read.pairs	Uniquely.mapped.pairs	Uniquely.mapped.pct	Num.genes.over.ten	Num.genes.over.zero	TIN.mean	TIN.median	TIN.stdev	metaSample
MF.64pLYVEpIIn.Ao.1	MF.64+LYVE+II-.Ao1	MF.64pLYVEpIIn.Ao.1	MF.64pLYVEpIIn.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_D01	D01	Veronique Angeli	36	10446815	6805895	65.15	10362	17980	54.39784885	56.29868966	20.75891182	MF_adult_resident
MF.64pLYVEpIIn.Ao.2	MF.64+LYVE+II-.Ao2	MF.64pLYVEpIIn.Ao.2	MF.64pLYVEpIIn.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_E01	E01	Veronique Angeli	36	14164158	9311478	65.74	11033	20387	56.33910546	59.045267	20.38385333	MF_adult_resident
MF.64pLYVEpIIn.Ao.3	MF.64+LYVE+II-.Ao3	MF.64pLYVEpIIn.Ao.3	MF.64pLYVEpIIn.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_F01	F01	Veronique Angeli	36	16476711	11141380	67.62	11468	22811	59.65844897	62.99399939	19.31578813	MF_adult_resident
MF.64pLYVEpIIp.Ao.1	MF.64+LYVE+II+.Ao1	MF.64pLYVEpIIp.Ao.1	MF.64pLYVEpIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_A01	A01	Veronique Angeli	36	9138066	6240250	68.29	10207	19954	53.84368476	57.00379205	20.54549562	MF_adult_resident
MF.64pLYVEpIIp.Ao.2	MF.64+LYVE+II+.Ao2	MF.64pLYVEpIIp.Ao.2	MF.64pLYVEpIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_B01	B01	Veronique Angeli	36	15817683	10723247	67.79	11281	20527	59.21587064	63.04587143	19.40594378	MF_adult_resident
MF.64pLYVEpIIp.Ao.3	MF.64+LYVE+II+.Ao3	MF.64pLYVEpIIp.Ao.3	MF.64pLYVEpIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_C01	C01	Veronique Angeli	36	17673436	12275195	69.46	11788	20875	61.76344602	65.76866224	18.42727392	MF_adult_resident
MF.64pLYVEnIIp.Ao.1	MF.64+LYVE-II+.Ao1	MF.64pLYVEnIIp.Ao.1	MF.64pLYVEnIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_G01	G01	Veronique Angeli	36	11410842	7906542	69.29	11067	20031	57.07462729	60.12847848	19.57108149	MF_adult_resident
MF.64pLYVEnIIp.Ao.2	MF.64+LYVE-II+.Ao2	MF.64pLYVEnIIp.Ao.2	MF.64pLYVEnIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_H01	H01	Veronique Angeli	36	8551711	5569635	65.13	9946	18933	48.87251317	49.38904972	21.80443401	MF_adult_resident
MF.64pLYVEnIIp.Ao.3	MF.64+LYVE-II+.Ao3	MF.64pLYVEnIIp.Ao.3	MF.64pLYVEnIIp.Ao	Macrophage	Aorta	CD45CD11bCD64MerTKLYVE-1MHCIIDumpchannel	Angeli	none	000008544769_A02	A02	Veronique Angeli	36	14384263	9933780	69.06	11601	20939	59.72519672	63.43437151	18.73221903	MF_adult_resident
EMP.E10.5.YS.1	EMP.E10.5YS1	EMP.E10.5.YS.1	EMP.E10.5.YS	Macrophage	yolk sac	c-kit+CD41+CD16/32+	Choi	none	000008530769_E12	E12	Kyunghee Choi	29	10613036	5648404	53.22	10350	17538	55.17673507	58.71386627	21.94263739	EMP_E10.5
